texts,destination
วันนี้ทำไมโทรออกไม่ได้ครับ,billing and payment
เช็คยอดเงินแล้วกด# # มันขึ้นว่าไม่มีข้อมูลอ่ะคะ,billing and payment
อยากสอบถามเรื่อง ค่าโทร ค่ะ,billing and payment
"พี่ยังไม่ได้ชำระค่าโทรศัพท์ พี่ไปชำระยอดและขอเพิ่มวงเงินชั่วคราว พี่ปรึกษาจนท.แล้ว ขอชำระ ยอดไม่เกินวันที่ 
แต่ถ้าชำระทั้งหมดไม่เกินวันที่ ขอเปิดสัญญาณวันจันทร์ชั่วคราวมา วัน ทำไมวันนี้ถึงโดนตัดล่ะ ",billing and payment
ชำระค่าโทรศัพท์ไปแล้ว แต่ internet ยังตัดอยู่ค่ะ,billing and payment
พอดีโทรศัพท์พี่มันโดนล๊อค,billing and payment
ค่ะ พอดีโทรศัพท์โดนระงับใช้อ่ะค่ะ,billing and payment
จะเติมเงินใน ไอแพด หน่ะค่ะ เติมยังไงค่ะ,billing and payment
เวลาโทรมันขึ้น ตู๊ด ตู๊ด ครั้งมันบอกว่า กรุณาฝากข้อความเสียง คือไรคะ,billing and payment
อยากทราบหน่อยว่า อะไรมันเกิน ทำไมถึงมันมีค่าใช้จ่ายเกินจากโปรโมชั่นค่ะ,billing and payment
รบกวนสอบถามเบอร์มือถือเบอร์หนึ่ง xxxxxxxx โอนย้ายจากดีแทคมาทรู เขาคิดค่าบริการหรืออะไรยังครับ,billing and payment
"สอบถามหน่อยค่ะ ว่าเป็นซิมเติมเงินค่ะ แล้วทีนี้ไปที่ศูนย์เค้าไปขอย้ายเป็นทรูมูลเฮทค่ะ
แล้วมีแมจเสจเข้ามาในเครื่องแล้วว่า เปลี่ยนซิมได้แล้ว ก็เลยเอาซิมตัวนี้มาเปลี่ยน แต่ว่าเปิดออกมาดูมันเป็นซิมเล็กอ่ะค่ะใส่เครื่องไม่ได้",billing and payment
พอดีได้ใบค่าบริการทรูอินเตอร์เนตค่ะ ทีนี้มันเรียกเก็บที่บัตรเครดิต ใบ พร้อมกัน,billing and payment
"คือดิชั้นต้องการเปิดสัญญาณเพราะตอนนี้ถูกระงับสัญญาณอยู่
และก็ยังไม่ได้รับใบแจ้งค่าบริการด้วยค่ะ",billing and payment
พอดีว่าผมส่งข้อความไม่ได้ครับ,billing and payment
เบอร์ที่เปิดใหม่ ไม่ทราบว่าปล่อยสัญญาณทรูมูฟเอช ให้หรือยังครับ,billing and payment
"ผมมีเบอร์จดทะเบียนอยู่ เบอร์เป็นชื่อผมทั้งคู่เบอร์ กับอีกเบอร์ อีกเบอร์นึงที่แจ้งเมื่อซักคู่เอาไปให้น้องใช้
มันมีปัญหามาตลอดเลยคือ เรา คนโทรหากันไม่ได้ โทรหาทุกคนได้ยกเว้นโทรหากันเอง",billing and payment
เปลี่ยนซิมใหม่มาเป็นทรูมูฟเอช แล้วใส่ซิมใหม่ไปแล้ว มันไม่เปิดเครื่องเป็นเครืองหมายขีดขาดไว้ แล้วซิมจะต้องหักมั้ย,billing and payment
โดน Lock ทำไมโทรออกไม่ได้คะ,billing and payment
พอดีเบอร์โดนตัดสัญญาณ ค่ะ เนื่องไม่ได้ชำระบริการมากี่เดือน ช่วยเช๊คให้หน่อยค่ะ,billing and payment
โปรโมชั่นมันตัดตังไปหมดเลยอ่ะค่ะ,billing and payment
สอบถามใช้วงเงินเกินไปเท่าไหร่แล้ว,billing and payment
พอดีอยากจะเปลี่ยนที่อยู่ที่รับใบเสร็จ,billing and payment
สอบถามข้อมูลหน่อยค่ะ พอดีเมื่อวานไปเปลี่ยน เอ่ออะไรนะ อินเตอร์เน็ตทรูอ่ะค่ะ เปลี่ยนที่นึงไปอีกทีนึง แล้วเขาก็ให้เปลี่ยนเบอร์ แต่ที่เนี่ยคืออยากจะเอาเบอร์เดิมกลับมาอ่ะค่ะ จะต้องยื่นเอกสารอะไรบ้างค่ะ,billing and payment
ค่ะตอนนี้ขอสอบถามวิธีการชำระเงินค่ะ,billing and payment
จะสอบเรื่องค่าใช้บริการค่ะ,billing and payment
ขอคุยเรื่องสัญญาณการโทรหน่อยครับ ขอเปิดสัญญาณการโทรน่อยครับ อยู่ต่างจังหวัด เดี๋ยวพรุ่งนี้จ่ายให้,billing and payment
ใช้ซิมทรูมูฟเอชกับไอแพค ยอดมีการส่งจดหมายมาให้แต่ยังไม่ได้ไปจ่ายเป็นอะไรมั้ยคะ,billing and payment
ครับ โทรศัพท์ผมอะครับ เล่น internet ไม่ได้ ขึ้นว่า internet ถูกระงับอ่ะครับ,billing and payment
จะขอเช็คยอดค้างชำระของเบอร์นี้ครับ,billing and payment
เอ่อ น้องค่ะ ช่วยเช็คเบอร์นี่ให้พี่หน่อยได้มั้ยค่ะ คือ พี่ติดต่อเพื่อนพีไม่ได้เลย,billing and payment
หนูอยากเพิ่มวงเงินอีก หน่ะค่ะ ให้เต็มวงเงินค่ะ,billing and payment
 โทรศัพท์ผมไม่มีสัญญาณ โทรเข้า โทรออกไม่ได้เลยครับ,billing and payment
จะให้ช่วยเปิดสัญญาณโทรศัพท์ให้หน่อยค่ะ,billing and payment
รายละเอียดของยอดบิล,billing and payment
เบอร์โทรศัพท์ค่ะ รอบการใช้บริการหน่ะค่ะ รวมยอดค่าใช้จ่ายนะค่ะ ที่มาส่งหนึ่งพันกว่าบาทหน่ะค่ะ,billing and payment
ต้องการเปิดการใช้งาinternet,billing and payment
คือ เอ่อ คือเรา ถ้าจ่ายค่าค้างชำระ รบกวนดูให้นิดนึงว่าครบหรือเปล่า,billing and payment
พอดีขอสอบถามว่า เติมเงินของ True แล้วเงินยังไม่เข้ามาเลยครับ,billing and payment
ต้องการแอคทิเวทซิม,billing and payment
ผมไปปิดเบอร์มือถือของเบอร์นี้ไว้นะครับ เห็นว่าจะมีค่าบริการเรียกเก็บของเดือนเมษายนอีก เดือน แต่ยังไม่ทราบยอด,billing and payment
โทรมาเปิดบริการเบอร์ค่ะ พอดีเปลี่ยนจากทรูมูฟเป็นทรูมูฟเอชค่ะ,billing and payment
อ๋อค่ะ จะสอบถามเรื่อง ค่าบริการทั้งหมดมันเท่าไหร่แล้ว,billing and payment
คะ คือเบอร์โทรศัพท์ที่สอบถามคะ จะขอเพิ่มวงเงินได้ไหมคะ,billing and payment
มียอดค้างตอนนี้เท่าไหร่ครับ,billing and payment
ใช้โปร จ่าย %ทำไมบางครั้งมันขึ้นeคะ,billing and payment
สวัสดีครับ คือผมต้องการเปลี่ยนที่อยู่ในการจัดส่งเอกสารครับ,billing and payment
พี่ค่ะ อยากทราบยอดค่าโทรศัพท์อ่ะค่ะ,billing and payment
อยากทราบว่านู๋ใช้ เบอร์ นี้ได้กี่เดือนแล้วค่ะ,billing and payment
พอดีโทรศัพท์โดนระงับสัญญาณค่ะ แล้วไปจ่ายค่าบริการแล้วแต่ยังใช้ไม่ได้เลย,billing and payment
อยากทราบยอดค้างชำระของโทรศัพท์ครับ,billing and payment
ผมจ่ายชำระค่าโทศัพท์แล้ว ทำไมตอนนี้เน็ตผมยังใช้ไม่ได้ครับ,billing and payment
คือพอดีว่ายอดเงินเกิน วงเงินเกินแล้วเลยโดนตัดการโทรออก ไปจ่าย - แล้วมา ,billing and payment
ยอดค่าใช้จ่ายครับ,billing and payment
จะแจ้งเบอร์โทรศัพท์เสียค่ะ ทีเบอร์ ค่ะ,billing and payment
ผมจะดูบอลผ่านโทรศัพท์หน่ะครับ แต่มันดูไม่ได้,billing and payment
รบกวนเปิด เอจและจีพีอาเอส ที่ซิมให้หน่อยครับ,billing and payment
เบอร์ เบอร์ยังใช้ได้อยู่ไหม พอดีพี่ไม่ได้เติมเงินหน่ะค่ะ,billing and payment
มียอดค้างชำระ อยากรู้ว่ายอดค้างเท่าไหร่ค่ะ,billing and payment
"เมื่อวานผมเปิดเน็ตแล้วเติมเงิน ,ลูกค้าเข้าไปดู utube แล้วลืมปิด ไม่ทราบว่าเงินหมดเลยเหรอครับ",billing and payment
ผมขอสอบถามเกี่ยวกับการชำระบริการครับ,billing and payment
ขอทราบค่าใช้จ่ายของเดือน ธันวา,billing and payment
สวัสดีคะพี่คะ หนูไปชำระหนี้ให้พี่แล้วนะคะ เบอร์.....,billing and payment
เติมเงินผิด ไม่ทราบว่าต้องทำยังไงบ้าง,billing and payment
ครับผมโดนตัดสัญญาณครับ,billing and payment
ขอลด วงเงิน เป็น บาทนะครับ,billing and payment
เวลาใช้งานเกิน Promotion เมกะไบต์(MB) แล้วจะคิดค่าบริการอย่างไร,billing and payment
อยากถามว่าโทรศัพท์ไม่แน่ใจว่าเกินวงเงินหรือเปล่า,billing and payment
พี่อยากสอบถามนิดนึง เบอร์นี้จดทะเบียนของทรูไหม,billing and payment
ยืนยันยอดชำระเงินอ่ะค่ะ,billing and payment
ถ้าต้องการเช็คยอดใช้งานของเราอ่ะคะ,billing and payment
อยากต่อโปรโมชั่นหน่อยครับ พอดีวันนี้มันโดนตัดอ่ะครับ,billing and payment
โทรศัพท์ผมโดนตัดไป ตอนนี้ไปจ่ายแล้ว แต่ยังใช้งานไม่ได้ครับ,billing and payment
สอบถามบริการเติมเงินค่ะ,billing and payment
ทำไมค่าใช้จ่ายใน Bill เดือนนี้สูงกว่าเดือนที่ผ่านมา,billing and payment
ทำไมเวลาผมใช้่บริการสายจะตัดที่ วินาทีตลอดเลย ช่้วยตรวจสอบด้ัวยครับ ผมโทรไปหาคอลเซนเตอร์แต่แค่รับเรื่องไว้ ไม่มีตอบกลับเลย,billing and payment
พี่ หนูไปเปลี่ยนเครื่อข่ายจาก ทรูเป็นทรูมูฟ เอช แล้วมันโทรออกไม่ได้อ่ะค่ะ ต้องทำยังไงค่ะ,billing and payment
ต้องการวันกำหนดจ่ายรอบบิลอะค่ะ,billing and payment
ขอยีดเวลาโทร ยังไม่ได้ไปชำระ,billing and payment
สอบถามเรื่องยอดชำระค้าง,billing and payment
อยากทราบว่าบิลที่เค้าแจ้งมา ต้องจ่ายไปก่อนหรือเปล่า,billing and payment
ค่ะ อยากจะทราบยอดค้างชำระของเบอร์ที่กดเข้าไปน่ะค่ะ,billing and payment
ครับ จะสอบถามค่าบริการครับ,billing and payment
รบกวนสอบถามเกี่ยวกับค่าบริการครับ,billing and payment
ผมขอทราบยอดของผมหน่อย,billing and payment
ต้องการเช็คโปรโมชั่นตอนนี้ที่ใช้งานอยู่ครับ,billing and payment
โทรศักท์โดนล๊อคค่ะแต่ผืดเองที่ไม่จ่ายเงิน แต่อยากให้ช่วยติดต่อเบอร์นึงให้หน่อยค่ะ,billing and payment
ถาม ยอดที่ต้องชำระและรายละเอียดโปรฯเน็ตที่ใช้งานอยู่,billing and payment
สอบถามเรื่องทำไมซิมมันโทรออกไม่ได้ค่ะ,billing and payment
ไม่ทราบจะเช็คยอดเงินยังไงคะ,billing and payment
สอบถามค่าบริการอินเตอร์เน็ตครับ,billing and payment
ผมอยากทราบว่าเซเว่น...เดือนนึงเค้าไม่รับจ่ายทำไงได้บ้างครับ,billing and payment
พอดีเปิดเบอร์ แต่ทำไมยังใช้งานไม่ได้ค่ะ,billing and payment
ชำระค่าบริการได้ที่ไหน,billing and payment
พี่ค่ะพอดี จะโทรถามยอดเงิน ทรูมูฟ ค่ะ,billing and payment
ขอเปิดสัญญาณกรณีพิเศษค่ะ,billing and payment
จะสอบถามเบอร์อื่นหน่ะค่ะ ไม่ใช่เบอร์นี้ แต่เป็นของทรูมูฟเหมือนกัน คือเติมเงินไปแล้วเงินมันตัดหน่ะค่ะ อยากทราบว่ามันเสียค่าอะไรค่ะ,billing and payment
ทำไมรอบนี้ผมมีใบแจ้งหนี้มา ใบ แต่ผมมีเบอร์เดียวช่วยเช็คให้ด้วยครับ,billing and payment
ผมอยากทราบ ยอด ค่าใช้ บริการ ทั้งหมดตอนนี้ของผม,billing and payment
สอบถามยอดค้างชำระของทรูมูฟเบอร์เก่าหน่อยคะ,billing and payment
จะโทรมาเพิ่มวงเงินอีก จ๊ะ,billing and payment
ต้องจ่ายเงินวันไหน,billing and payment
จะสอบถามว่าตอนนี้ผมมียอดค่าชำระอยู่ที่เท่าไหร่ครับ,billing and payment
จะรบกวนสอบถามยอดค่าบริการรายเดือน เดือนที่แล้วค่ะ,billing and payment
คะ จะบอกว่าเมื่อกี้ชำระเงินไป บาท ช่วยเปิดสัญญาณได้ไหมคะ,billing and payment
ผมไปจ่ายค่าเน็ตเมื่อคืนที่โลตัส เขาบอกว่า เปิดใช้ประมาณ ชั่วโมงตั้งแต่ตอนนั้นหน่ะ เมื่อคืนตอนนั้นยังไม่เปิดให้ผมเลยครับ,billing and payment
ค่ะ พอดีจะโทรมาเปิดสัญญาณหน่อยค่ะ,billing and payment
อยากสอบถามว่าพึ่งไปจ่ายค่าโทรมา ทำไมมันตัดอีกแล้วครับ,billing and payment
สอบถามยอดเงินที่ค้างชำระค่ะ,billing and payment
ต้องการทราบ โปรโมชั่นที่ใช้งานอยู่ตอนนี้ครับ,billing and payment
สอบถามค่าเน็ตค่ะ,billing and payment
สวัสดีคะ ดิฉัยอยากจะถามเรื่องค่าโทรศัพท์ที่มีจานแดงด้วย,billing and payment
อันนี้บิลของนายสามารถนั่น มันมาแล้วนั่น,billing and payment
รอเปิดสัญญาณอยู่ครับตอนนี้ยังไม่ได้เลยครับ,billing and payment
คะ อยากสอบถามอีกเบอร์นึงคะ ไม่มีสัญญาณบนมือถือไอโฟนคะ,billing and payment
ซิมโดยล็อคครับพี่,billing and payment
เบอร์โทรศัพท์แจ้งมาว่าผมค้าง เดือน แต่ผมหักผ่านบัตรเครดิตเอาไว้ครับ,billing and payment
อยากทราบค่าใช้จ่าย ค่าบริการค่ะ,billing and payment
คือว่าเติมเงินแล้วยอดมันไม่เข้าอ่ะค่ะ,billing and payment
พอดีอยากสอบถาม เบอร์นี้ติดค่าบริการกี่เดือนแล้วคะ,billing and payment
มีบิลส่งมาเมื่อวาน คือว่ามันหมดเขตชำระไปแล้วหน่ะครับ จะถามว่าถ้าไปชำระที่เซเว่นเนี่ยจะชำระได้มั้ยครับ,billing and payment
อินเตอร์เน็ตพี่ใช้ไม่ได้ค่ะ เข้าใจว่าน่าจะเกี่ยวกับยอดค้าง พี่ไปชำระรายปี เมื่อเดือน พ.ย. ค่ะ แต่ว่ายังไม่ได้แจ้งเรื่องไปที่ SCB ค่ะ เลยมีปัญหานี้ค่ะ,billing and payment
ใบแจ้งค่าโทรศัพท์ปกติจะส่งไปอีกที่หนึง ทำไมส่งมาที่ทำงานนะคะ,billing and payment
ผมซื้อบัตรทรูมันนี่มาเติมเงินแล้วเติมไม่เข้าครับ,billing and payment
เติมเงินในไอแพดยังไงหรอครับ,billing and payment
อยากจะสอบถามยอดค่าบริการค่ะ คือจ่ายล่วงหน้าไปแล้ว เดือนค่ะ,billing and payment
พอดีซิมหนูมันเป็นอะไรก็ไม่รู้ เปิดแล้วก็ขึ้นเปิดเครื่องอยู่งั้น ไม่ไปที่หน้าหลัก,billing and payment
ครับ ขออนุญาตสอบถามค่าใช้บริการเป็นจำนวนเงินครับ,billing and payment
คือผมจะสอบถามเรื่องค่าบริการ ตอนนี้โทรออกไม่ได้ถูกระงับการใช้งาน,billing and payment
จะเติมTopping ค่าโทรค่ะ กดไปแล้วทำรายการไม่ได้,billing and payment
สมัคร แพ็กเกจ รายวัน บาท ตอน โมง แต่มันขึ้นว่าหมดอายุเที่ยงคืนวันนี้แล้ว,billing and payment
คือชำระค่าบริการไปแล้ว ช่วยปลดล็อคเบอร์ให้หน่อย,billing and payment
ค่ะ ขอถามข้อมูลใบแจ้งค่าบริการเดือนล่าสุด หมายเลขนี้เลยค่ะ,billing and payment
จะเช็คว่าเดือนนี้ใช้ไปเท่าไหร,billing and payment
ผมอยากทราบว่า ทำไมยอดของผม ถึงมีค่า SMS ค่า cms ค่า web อะไรพวกนี้อ่ะครับ คือ ผมแปลกใจอ่ะครับ,billing and payment
พี่ยกเลิกเบอร์ไปแล้ว แต่พี่ยังได้ใบทวงอยู่เลย รบกวนดูให้หน่อยซิ,billing and payment
เบอร์ทรูมูฟของผมเบอร์หนึ่งหน่ะ อยู่ๆ คลื่นมันก็ไม่มี มันเหมือนกับล้มเหลวไปเลย ทำอะไรไม่ได้เลย โทรออกไม่ได้เลยครับ,billing and payment
สวัสดีครับจะ ถาม ยอด หน่อยครับ,billing and payment
คะ อยากสอบถามยอดค่าใช้บริการของหมายเลขนี้คะ,billing and payment
สวัสดีค่ะ จะสอบถามวิธีการชำระเงินค่ะ,billing and payment
สวัสดีค่ะ จะสอบถามยอดของทรูอ่ะค่ะ ว่ามียอดเท่าไหร่ค่ะ,billing and payment
สอบถามค่าบริการของเบอร์ ,billing and payment
ต้องการเชีคยอดการใช่งานทั้งแต่วันที่ มกราคม มา ค่ะ,billing and payment
คะ สอบถามนิดนึงเกี่ยวกับยอดค่าบริการคะ,billing and payment
ตอนแรกเบอร์นี้ถูกระงับสัญญาณแต่ตอนนี้จ่ายค่าโทรศัพท์แล้ว,billing and payment
พอดีจ่ายค่าบริการไป จะให้เปิดสัญญาณให้ค่ะ,billing and payment
สวัสดีครับผมขอสอบถามค่าใช้จ่ายของรอบบิลนี้หน่อยสิครับ,billing and payment
สอบถามยอดที่ชำระค่าบริการแล้ว,billing and payment
ต้องการเปิดใช้บริการหมายเลข....ย้ายจากฮัทมาทรูมูฟ,billing and payment
พอดีโทรศัพท์โดนตัดจะขอเพิ่มวงเงินค่ะ,billing and payment
ผมชำระค่าบริการไปแล้ว แต่เบอร์ยังโดนระงับอบู่ครับ,billing and payment
ค่ะ อยากทราบว่าเบอร์ ขึ้นโครงข่ายมือถือไม่เปิดอ่ะค่ะ,billing and payment
ต้องการจำกัดวงเงิน ค่าโทรคะ,billing and payment
ยอดค้างชำระของเดือน 11,billing and payment
ผมจะสอบถามยอดที่ใช้เกินกับยอดที่ยังไม่ได้ชำระ,billing and payment
อยากทราบว่าวงเงินการใช้บริการเบอร์นี้ตอนแรกมันอยู่ที่หนึ่งพัน แล้วทีนี้มีข้อความส่งมาว่าเปลี่ยนวงเงินให้เป็นสองพันเจ็ดอ่ะค่ะ ช่วยตรวจสอบให้หน่อยได้มั้ยค่ะ,billing and payment
พอดีทำผมทำบิลค่าบริการหาย ต้องไปจ่ายที่ไหน ครับ,billing and payment
คือ คุณดาวุธเค้าไม่เคยใช้ทรูมูฟแต่มีบิลไปที่บ้านเค้า,billing and payment
อยากสอบถามเรื่องโอนเงินค่ะ,billing and payment
คือสมัครเพ็กเก็ตไป แล้วตอนนี้ยังใช้ไม่ได้เลยค่ะ,billing and payment
มันโทรออกไม่ได้ครับ,billing and payment
สอบถามรหัสพินล็อคหนะค่ะ เด็กมันไปกดเล่น แล้วซิมมันล็อคค่ะ,billing and payment
อยากจะสอบถามหน่อยค่ะ ว่าหมายเลขโดนระงับการใช้บริการอ่ะค่ะ,billing and payment
การเติมเงินด้วยบัตร,billing and payment
สอบถาม ยอด ค่าบริการ เนื่องจากไป ต่างประเทศ แล้วลืม ปิด ดาต้า,billing and payment
พี่จะสอบถามว่าพี่มีค่าค้างชำระอีกเท่าไหร่ไหมค่ะ,billing and payment
โปรผมใช้ อินเตอร์เน็ต อัลลิมิท แต่มีข้อความเตือนว่าใช้ อินเตอร์เน็ต ตามที่กำหนด,billing and payment
อยากถามหมายเลขนี้ค่ะ ว่ายอดเงินเหลือเท่าไหรค่ะ,billing and payment
ขอสอบถามเกี่ยวกับซิมลงทะเบียนได้หรือป่าวครับ,billing and payment
 มียอดเท่าไหร่แล้วครับ,billing and payment
พอดีอยากสอบถามหน่อยค่ะว่า เห็นมีแมจเสจบอกมาว่า ปรับวงเงินให้ พันบาทนี้หมายถึงอะไรค่ะ,billing and payment
อยากสอบถามว่ามีค่าบริการเท่าไหร่ค่ะ,billing and payment
จะสอบถามเรื่องโบนัสหน่อยค่ะ ว่าจะโอนให้วันที่ นี่วันที่ แล้วยังไม่โอนให้เลยค่ะ,billing and payment
ช่วยเปิดบริการเบอร์ xxxxxxxxx ได้ชำระค่าบริการแล้ว,billing and payment
ถ้าอยากเติมเงิน กด * รึป่าวค่ะ,billing and payment
อยากจะขอ ลด วงเงิน ให้เหลือพันเดียวค่ะ,billing and payment
จะชำระค่าบริการผ่าน อินเตอร์เน็ต แบ้งกิ้ง ธ.กรุงเทพ ขอหมายเลขอ้างอิงที่ หน่อยค่ะ,billing and payment
จะสอบถามเรื่องค่าใช้จ่ายเบอร์นี้ค่ะ,billing and payment
"ทำไมโทรศัพท์ถูกตัด, จ่ายเงินแล้วตอนเช้า ได้รับบิลแล้ว",billing and payment
อยากจะสอบถาม ว่าส่งไปหมายเลขปลายทางไป แต่หมายเลขปลายทางไม่ได้รับ ค่ะ,billing and payment
ค่ะพี่ ขอรบกวนหน่อยนะค่ะพอดี ซิม ถูก ล็อค นะค่ะ,billing and payment
ค่ะ คือขูดรหัสบัตรเติมเงินแล้วเลขมันหายอะค่ะ,billing and payment
เช็คโปรให้หน่อยคะ เบอร์ xxxxxxxx คะ,billing and payment
คือผมจะสอบถามยอดค้างชำระอ่ะครับ,billing and payment
สวัสดีคะ พอดียกเลิกโปรโมชั่นอินเตอร์เนตไปแล้วคะ พอดีได้รับ sms ค่าอินเตอร์เนตคะ,billing and payment
น้องคะคือว่าพี่ไม่ได้รับบิลใบแจ้งหนี้ของทรูและของโทรศัพท์บ้านเดือนนี้ เดือนที่ว่าจะต้องจ่ายเนี่ย พี่จะสอบถามว่าจะต้องจ่ายเท่าไหร่และจ่ายวันไหนได้บ้าง วันสุดท้ายที่ว่าจะโดนตัดสัญญาณหนะค่ะ,billing and payment
ผมอยากถามยอดค้างชำระของหมายเลขนี้ครับ,billing and payment
สอบถามว่าเดือนนี้ใช้ไปกี่นาทีแล้ว,billing and payment
ไม่ทราบที่โทรออกไม่ได้ เป็นเพราะว่ายังไม่ได้เติมตังค์หรือมันหมดวันยังไงคะ,billing and payment
อันนี้ขอเปิดก่อนได้มั้ยค่ะ แล้วพรุ่งนี้จะเข้าไปชำระที่ทรูค่ะ,billing and payment
เบอร์นี้โอนเงินค่าใช้บริการไปแล้ว แต่พอโทรไปเช็ค มันยังไม่หักหง่ะค่ะ,billing and payment
สอบถาม ชม.อินเตอร์เน็ตใช้ไปเท่าไหร่เหลือเท่าไหร่ครับ,billing and payment
สอบถามเรื่องค่าบริการ เบอร์นี้ไม่เคยใช้บริการแต่ทำมั้ยมีค่าบริการแจ้งมาค่ะ,billing and payment
โทรเข้าออกไม่ได้ ไม่ทราบว่าเป็นอะไร เล่น line ไม่ได้ค่ะ,billing and payment
ตอนนี้เบอร์ถูกระงับ,billing and payment
พอดี โทรศํพท์โดนระงับ ผมจะจ่ายผ่านบัตรเครดิตทางนี้ได้เลยมั้ยครับ,billing and payment
อยากทราบว่าเดือนนี้มีค่าบริการเท่าไหร่อ่ะครับ,billing and payment
ลูกค้าสอบถามเบอร์ถูกระงับบริการเนื่องจากเกินวงเงิน ชำระค่าบริการเข้ามาแล้วยังใช้งานไม่ได้,billing and payment
ซิมทรูมูฟยังไม่ได้เปิดใช้งาน แต่มีเรียกเก็บค่าบริการนะคะ,billing and payment
อยากจะสอบถามว่า หมายเลขนี้ ค่ะ ได้ชำระค่าบริการไปแล้วหรือยังคะ,billing and payment
ผมใช้ซิมทรู ตอนแรกใส่โทรศัพท์ใช้งานได้ดีพอมาใส่ นิว ไอแพด มันขึ้น พูชแอคติเวท ครับ,billing and payment
อยากทราบเรื่องใบเสร็จชำระยอดเงินค่ะ,billing and payment
โทรเข้าโทรออกไม่ได้เลยครับ ไม่ทรายวาเหตุอะไรครับ,billing and payment
คะ อยากจะแจ้งว่า โทรศัพท์ส่ง sms ไมได้คะ รับได้ ส่งไม่ได้คะ,billing and payment
เบอร์ผมโทรไปสมัครอินเตอร์เน็ตไม่ทราบว่าเปิดหรือยังครับ,billing and payment
พี่เสียตังค์เบอร์นี้ เสียค่าบ้านและ Internet ช่วยดูบิลให้พี่หน่อยว่าตัดไปหรือยัง,billing and payment
หนูยังเติมตังแล้วมันหักไปเอง,billing and payment
พอดีโทรศัพท์โดนตัดอะค่ะแต่ชำระเข้าไปแล้ว เหลืออีก เปิดสัญญาณให้ได้มั้ยค่ะ,billing and payment
ส่ง เอสเอ็มเอส ออกไม่ได้ค่ะ,billing and payment
จะสอบถามยอดค่าบริการค่ะ,billing and payment
พอดีสัญญาณถูกระงับ ขอเปิดสัญญาณก่อน,billing and payment
อยาก สอบถาม ที่ ชำระ บริการ ครั้งลา่สุด ชำระ ผ่านทางไหน,billing and payment
ไม่ได้รับใบแจ้งค่าบริการ หรือ ได้รับล่าช้า,billing and payment
ช่องทางการชำระค่าบริการ,billing and payment
จ่ายค่าโทรศัพท์ไปที่เซเว่นค่ะ อยากให้เปิดสัญญาณค่ะ,billing and payment
ผมจะสอบถามเรื่องทรูออนไลน์ ของผมบิลให้ชำระวันที่ เดือน แต่มาถึงผม วันที่ - เดือน ครับ,billing and payment
เปิดสัญญาณให้ก่อนไหมคะ,billing and payment
จะติดต่อเรื่องเติมเงินผิดครับ,billing and payment
พี่เพิ่งเปิดใช้บริการค่ะ แล้วมีข้อความมาแจ้งว่ามียอดใช้เกิน บาท ค่ะ,billing and payment
จะขอควบคุมวงเงิน ค่ะ,billing and payment
พี่คะถ้าจะเปิด sim ทรูอะ แล้วแบบเปิด sim อินเตอร์เน็ตได้รึป่าวคะ เป็นรายเดือนอะค่ะ,billing and payment
สวัสดีค่ะพี่สอบถามยอดค้างชำระของเบอร์ - หน่อยค่ะ,billing and payment
เอ่อ สอบถามเกี่ยวกับเบอร์โทรเนี่ยครับ เป็นโปรโมชั่นอะไรครับ,billing and payment
สอบถามหน่อยครับพอดีผมไปจ่ายค่าโทรศัพท์มาเมื่อตอนเย็นที่บิ๊กซีหาดใหญ่ แล้วโทรศัพท์ของผมหักผ่านบัญชีอะครับ,billing and payment
คะพี่ จะสอบถามคะ ไอ้โน๊ตเล่นเนต เป็นรายเดือน ใช่ไหมคะ เมื่อเดือนที่แล้วเติมไป แล้วจนท.บอกว่าให้เติม เพราะหมดเขตวันที่ ใช่ป่าวคะ เราเติมไปวันที่ พึ่งถึงวันนี้ และวันนี้เนตไมดได้ไงคะ,billing and payment
โทรมาสอบถามเรื่องค่าชำระบริการค่ะ,billing and payment
ผมไปชำระยอดทาง เอทีเอ๊มครับ แต่ยอดยังไม่เข้าอยากรู้ว่ายอดเมื่อไหร่จะเข้าครับ,billing and payment
ครับ รบกวน เช็คยอดค่าบริการของเบอร์ผมให้หน่อยครับ,billing and payment
พี่คะช่วยเช็คค่าบริการการโทรของเบอร์นี้ให้หน่อยค่ะ,billing and payment
อยากได้เบอร์โทรออกของเดือนที่แล้วค่ะ,billing and payment
พี่ขอเปิดสัญญาณทรูค่ะ,billing and payment
หมายเลขนี้ มียอดค้างค่าบริการหรอค่ะ,billing and payment
หมายเลขที่โทรเข้าไป ถูกระงับการใช้ ตอนนี้มียอดค้างเท่าไหร่ครับ,billing and payment
จะมาสอบถามเกี่ยวกับบิล,billing and payment
สอบถามค่าบริการครับ,billing and payment
ไปชำระค่าบริการมาแต่แปลกใจว่าทำไมถึงมียอด ปกติของผมน่าจะประมาร กว่าบาท,billing and payment
พอดีผมใช้เช็คบาล้านซ์ไม่ได้หน่ะครับ,billing and payment
พอดีว่าเลขหมายถูกระงับหน่ะค่ะ,billing and payment
พอดีว่าซื้อโทรศัพท์Go Live มาแล้วเปิดใช้บริการไม่ได้ค่ะ,billing and payment
อยากถามว่ามียอดค้างชำระอยู่เท่าไร พอดีโดนระงับน่ะค่ะ,billing and payment
